row_id,Control_Group,Experimental_Group
100,79,87
101,68,57
102,73,60
103,83,78
104,80,61
105,57,86
106,73,67
107,64,64
108,64,88
109,68,82
110,66,85
111,77,77
112,71,63
113,66,85
114,69,68
115,68,76
116,77,78
117,63,69
118,68,75
119,58,77
120,45,73
121,70,61
122,72,72
123,59,81
124,83,64
125,53,69
126,65,67
127,64,85
128,77,75
129,72,73
130,66,64
131,68,74
132,58,65
133,49,70
134,62,65
135,66,75
136,75,75
137,70,68
138,-20,73
139,63,61
140,57,54
141,54,74
142,51,71
143,81,75
144,61,89
145,61,78
146,55,63
147,71,79
148,52,59
149,63,66
150,58,130
151,68,84
152,61,64
153,56,63
154,65,69
155,68,65
156,66,79
157,67,61
158,60,61
159,62,101
160,60,66
161,62,85
162,58,78
163,51,71
164,66,60
165,62,77
166,52,62
167,69,58
168,58,80
169,65,73
170,71,77
171,66,73
172,74,77
173,55,65
174,68,62
175,60,75
176,58,64
177,60,64
178,63,66
179,65,70
180,56,67
181,72,55
182,69,65
183,53,52
184,78,75
185,80,57
186,74,61
187,64,70
188,56,64
189,73,82
190,62,60
191,75,72
192,67,70
193,73,61
194,68,74
195,71,69
196,65,76
197,79,77
198,66,87
199,68,81
