Education,Experience,Interview_Score,Hired
6,5,7.151913,1
8,6,5.176187,1
6,6,3.520418,0
5,7,6.327789,1
7,3,8.73119,1
6,0,1.678884,0
7,1,9.874783,1
5,5,3.494149,0
5,1,8.262051,1
4,0,0.654615,0
5,3,0.053533,0
5,5,8.869446,1
4,1,9.113181,1
4,3,1.994078,0
5,4,0.275514,0
7,6,8.173349,1
8,7,2.418276,1
4,5,0.56083,0
4,6,0.675608,0
8,4,4.738719,1
5,1,5.094293,1
7,4,4.167951,1
6,6,2.558429,0
8,4,3.815121,1
6,3,8.073844,1
8,4,8.110391,1
4,3,6.861869,1
4,7,9.926136,1
5,6,4.051852,0
7,0,1.901737,1
8,6,4.881745,1
8,5,5.023696,1
8,4,4.033548,0
5,4,1.810954,0
7,7,0.480298,0
6,4,6.046913,1
5,4,2.659112,0
8,7,8.81347,1
4,0,5.840461,1
7,0,4.774605,0
6,1,1.71515,0
4,0,0.5662,0
7,0,1.570352,0
6,4,3.386175,0
6,2,4.40643,1
6,7,6.838431,1
6,2,2.058717,1
8,5,6.164337,1
7,5,9.244716,1
7,0,0.796283,0
8,6,4.853968,1
8,6,6.985636,1
7,1,0.815685,0
6,6,8.691024,1
4,6,4.331057,0
8,0,4.943301,2
7,7,4.957405,1
5,2,3.707221,1
7,4,9.221287,1
6,4,8.412782,1
5,1,6.555259,0
6,2,4.62685,0
8,3,5.650113,1
4,1,4.239155,1
5,7,2.88212,1
8,5,2.639807,0
6,4,6.907382,1
5,3,8.328365,1
5,1,5.923916,0
7,7,4.665226,1
8,1,6.7366,1
5,6,3.914794,1
4,0,7.021044,0
4,7,9.656976,1
7,7,0.905099,0
5,1,0.581251,0
7,3,NaN,1
7,1,7.511738,1
7,0,5.113174,1
5,6,9.205012,1
5,7,3.039641,1
6,5,4.930027,0
7,1,9.793603,1
7,2,3.235083,0
7,5,1.895672,0
7,2,3.052291,1
4,NaN,3.441119,0
5,6,6.795303,0
7,5,0.53815,0
5,1,8.066038,1
8,3,6.029502,1
7,2,6.552132,0
5,3,7.476598,1
6,6,5.356262,1
7,6,1.091565,0
8,7,4.961963,0
7,1,1.723426,1
5,1,6.839892,1
4,6,5.298252,0
4,3,6.252243,0



