Individual Reference,Species,Sampled skeletal part,Age at death (years),Sex,14C sample ID,14C uncalibrated Age (BP),δ13C (‰VPDB),δ15N (‰AIR),%Col,%C,%N,C:Natomic
1,human,tarsal,18–19,,Poz-86572,4270±35,–20,10.8,5.6,46.5,16.6,3.3
2,human,cranium,20–50,M,Poz-86784,4315±35,–19.6,10.8,9.7,42.7,15.4,3.2
3,human,tibia,20–35,M,Poz-86569,4430±30,–20,10.7,1.3,40.4,14.3,3.3
4,human,scapula,30–40,F,Poz-86570,4495±35,–19.9,9.8,7.4,45.2,16.1,3.3
5,human,scapula,7–14,,Poz-86568,4530±35,–20.4,10.1,7,48.8,17.6,3.2
6,human,tibia,14,,Poz-86565,4450±35,–19.8,9.7,3.3,44.5,16.1,3.2
7,human,scapula,7–8,M,Poz-86564,4410±35,–20.2,8.8,6.2,48.1,17.6,3.2
8,human,scapula,2–3,,Poz-86563,4145±35,–20,12.7,9.3,47.9,17.1,3.3
9,human,radius,10–14,M,Poz-86566,4460±35,–19.8,9,6.7,45,16.2,3.2
10,human,cranium,20–30,F,Poz-86780,4115±35,–19.9,9.7,8.2,40.4,13,3.6
11,human,mandible,20–30,M,Poz-86497,4130±30,–20,9.1,1.8,44.2,15.6,3.3
11,human,vertebrae,20–30,M,Poz-86573,4255±30,–20.1,10.8,3.2,44.3,15.7,3.3
12,human,cranium,40–50,F,Poz-86574,4390±35,–20,9.3,1,41.7,14.8,3.3
13,human,cranium,30–50,F,Poz-86498,4260±35,–20.1,10.1,1.4,34.8,12.4,3.3
14,human,scapula,4–5,,Poz-86567,4440±35,–20.3,9.8,7,43.6,15.4,3.3
15,human,mandible,12–14,,Poz-86782,4405±35,–19.6,9.1,6.5,45.1,16.1,3.3
16,human,mandible,30–40?,M,Poz-86783,4065±35,–19.4,10.3,2.8,43.9,15.6,3.3
17,human,tibia,20–30,M,Poz-86560,205±30,–19.9,10.7,16.8,46.8,16.7,3.3
18,human,cranium,5–7,,Poz-86562,210±30,–19.7,11.4,9.7,48.6,17.4,3.3
19,cattle,mandible,,,Poz-86575,4385±35,–19.8,6.1,4.2,45.1,15.8,3.3
20,cattle,mandible,,,Poz-86577,4270±35,–19.9,5.2,2.5,47.9,17.2,3.2
21,cattle,2nd molar,,,Poz-86578,4245±35,–20.3,5.6,3.6,48,16.8,3.3
22,cattle,mandible,,,Poz-86581,4225±35,–20.4,6.2,1.8,47,16.7,3.3
23,cattle,mandible,,,Poz-86576,4320±30,–20.5,6.6,4.8,49.1,17.5,3.3
24,fox,mandible,,,Poz-87638,4030±30,–19.9,7.8,5.9,48.7,17,3.3
