X1,X2,X3,X4,Y
66.91,60.19,29.52,70.35,623.38
45.34,45.1,36.3,52.9,468.22
50.33,44.93,18.55,41.96,412.17
54.08,48.68,33.47,43.29,510.02
42.11,39.28,31.11,76.95,475.15
50.02,49.1,17.05,52.35,470.39
49.99,48.09,40.7,86.9,555.98
32.45,32.45,24.37,91.33,402.72
60.18,56.28,35.47,65.72,583.83
56,52.86,26.64,94.88,591.82
43.75,39.28,37.95,73.41,481.91
48.28,45.24,40.5,86.87,544.78
55.05,53.49,23.36,66.61,527.86
47.39,44.42,17.76,84.39,499.07
47.57,46.14,28.95,55.85,483.58
35.47,32.55,36.79,79.34,422.11
55.55,51.58,27.03,63.11,549.2
51.24,48.76,25.09,68.04,527.8
52.74,49.72,33.91,79.48,571.86
34.73,34.18,7.91,72.59,370.14
66.51,63.54,24.68,68.88,616.67
51.54,52.45,18.93,80.92,510.51
46.13,43.38,32.36,82.05,524.85
70.29,66.32,24.11,49.22,570.75
49.55,44.99,21.08,78.38,491.78
35.49,33.76,27.17,80.07,416.79
45.95,45.02,18.25,58.72,469.09
27.12,24.28,29.9,75.79,358.2
60.49,57.37,24.54,50.14,529
45.84,44.98,26.98,91.59,489.66
42.57,40.19,24.26,66.44,431.32
60.72,56.65,37.3,68.82,602.1
33.49,33.76,29.13,87.96,433.43
55.35,52.78,34.2,67.86,555.26
29.36,28.68,33.84,78.98,381.33
43.38,43.55,23.55,54.29,437.3
37.96,38.35,34.56,61.45,456
64.62,60.69,32.79,49.11,567.99
67.66,63.23,32.51,66.88,636.77
46.71,44.94,26.81,85.47,543.94
